account,full_name,title,linkedin_url
Fidelity Investments,Shivani Kataria,"Director, Global Workforce Optimization  [no LinkedIn URL yet]",
Fidelity Investments,Amy Nadeau,"Director, Content Experience Operations  [no LinkedIn URL yet]",
Fidelity Investments,Jessica Grassi-Hanley,Director Of Operations  [no LinkedIn URL yet],
Fidelity Investments,Esty Brenner,"Director, Workforce Planning  [no LinkedIn URL yet]",
Fidelity Investments,Marjorie Stainback,"Director, UX Research Operations  [no LinkedIn URL yet]",
Fidelity Investments,Brenton Carr,"Director, FDAM Investment Operations  [no LinkedIn URL yet]",
Fidelity Investments,David Gudgell,Director of Phone Operations  [no LinkedIn URL yet],
Fidelity Investments,Shehnaz Nagpurwala,Director of Service & Operations Program  [no LinkedIn URL yet],
Fidelity Investments,Allison Bartlett,"Director, Market Enablement Operations  [no LinkedIn URL yet]",
Fidelity Investments,Marcia Loughlin,Director Offshore Operations  [no LinkedIn URL yet],
Fidelity Investments,Logan Mahan,"Director, Client Operations & Service Readiness  [no LinkedIn URL yet]",
Fidelity Investments,Claire Price,"Director, Risk Operations  [no LinkedIn URL yet]",
Fidelity Investments,Elizabeth Savage,"Director, Operations Career and Skills  [no LinkedIn URL yet]",
Fidelity Investments,Eric Zajac,Senior Director - Business Process Improvement  [no LinkedIn URL yet],
Fidelity Investments,Rob Zimmerman  III,Director of Business Process Improvement  [no LinkedIn URL yet],
Fidelity Investments,Michael Connors,"Director, Custody Operations  [no LinkedIn URL yet]",
Fidelity Investments,Alexandra Ferguson,"Director, Operations and Planning  [no LinkedIn URL yet]",
Fidelity Investments,Terri Abstein,Director of Workspace Operations  [no LinkedIn URL yet],
Fidelity Investments,"David Binder, MBA",Director Cash and Banking Operations  [no LinkedIn URL yet],
Fidelity Investments,Kali Crocker,"Director, Asset Management Business Operations  [no LinkedIn URL yet]",
Fidelity Investments,Doug Morin,"Sr. Director - Strategic Relationship & Enterprise Vendor Management, Risk Operations CoE  [no LinkedIn URL yet]",
Fidelity Investments,Maggie Wang,"Director, Database Operations  [no LinkedIn URL yet]",
Fidelity Investments,Steve D.,Director - ETF Operations  [no LinkedIn URL yet],
Fidelity Investments,Kartik Nair,Director Treasury Operations  [no LinkedIn URL yet],
Fidelity Investments,"Melanie Welch, MBA","Director, Electronic Processing Operations  [no LinkedIn URL yet]",
Fidelity Investments,Andrew Samson,"Director, Business Process Management and Automation  [no LinkedIn URL yet]",
Fidelity Investments,Jamie Mannion,Director Operations  [no LinkedIn URL yet],
Fidelity Investments,Jerry Bettner,Director-Operations Center of Excellence  [no LinkedIn URL yet],
Fidelity Investments,Jason B.,"Director, Equity Trading Operations  [no LinkedIn URL yet]",
Fidelity Investments,Allen Ramsey,"Director, Risk Operations  [no LinkedIn URL yet]",
Fidelity Investments,Michael Goulding,Director- Boston Operations  [no LinkedIn URL yet],
Fidelity Investments,Quanna Shead,Director Operations  [no LinkedIn URL yet],
Fidelity Investments,Luke Eaton,"Director, Operations Solutions  [no LinkedIn URL yet]",
Fidelity Investments,Deanne Richardson,Director Financial Operations  [no LinkedIn URL yet],
Fidelity Investments,"Stephanie Whitehead, CFE, CFCI","Director, FCIU Governance and Operations  [no LinkedIn URL yet]",
Fidelity Investments,Brian Milliken,"Director, Alternative Investment Operations  [no LinkedIn URL yet]",
Fidelity Investments,Addison English,"Director, Research Operations  [no LinkedIn URL yet]",
Fidelity Investments,Jordan Smith,"Director, Financial Operations  [no LinkedIn URL yet]",
Fidelity Investments,Jamie Williams,"Director, Workforce Management  [no LinkedIn URL yet]",
Fidelity Investments,Arinze Okoye,Director Healthcare Operations - Program Management  [no LinkedIn URL yet],
