contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources
H0034,"Hamaspik of Rockland County, Inc.","Hamaspik, Inc.",2153,3,2.7,3.1,2.2,1.3,0.58,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1215,Centene Corporation,Wellcare,3021,3,3.3,3.1,3.1,1.3,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1395,Centene Corporation,Wellcare,2686,3,2.9,2.8,2.8,1.3,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6545,"Devoted Health, Inc.",Devoted Health,2585,3.5,2.7,4.4,1.3,1.3,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H7199,"Devoted Health, Inc.",Devoted Health,2598,3.5,2.6,4.4,1.3,1.3,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H7464,"UnitedHealth Group, Inc.",UnitedHealthcare,16920,3.5,3.8,2.8,8.2,1.3,0.16,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
R3444,"UnitedHealth Group, Inc.",UnitedHealthcare,4954,3,3.6,2.7,5.1,1.3,0.26,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0473,Humana Inc.,Humana,16295,3.5,3.8,2.8,7.9,1.2,0.15,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H1894,"Elevance Health, Inc.",Wellpoint,2322,3,2.6,2.7,2.4,1.2,0.51,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2836,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,2508,3,3.2,3.1,2.6,1.2,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4073,Centene Corporation,Wellcare,6500,3.5,3.3,2.9,3.2,1.2,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5928,California Physicians' Service,Blue Shield of California,7880,3.5,3.6,3.2,3.8,1.2,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0111,Centene Corporation,Wellcare,5977,3.5,3.3,2.9,2.9,1.1,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2593,"Elevance Health, Inc.",Wellpoint,13319,3.5,3.7,2.5,6.5,1.1,0.17,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6550,Centene Corporation,Wellcare By Allwell,2209,3,2.9,2.8,2.3,1.1,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1360,"UnitedHealth Group, Inc.",UnitedHealthcare,2404,3,3.3,2.9,2.5,1.0,0.40,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5422,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,14459,3.5,3.8,2.6,7.0,1.0,0.14,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5608,Denver Health and Hospital Authority,Elevate Medicare Advantage,5080,3.5,3.7,3.5,2.5,1.0,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6847,Mass General Brigham Incorporated,Mass General Brigham Health Plan,2062,3.5,3.1,4.2,1.0,1.0,1.00,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9306,"LifeBridge Health, Inc.",Alterwood Advantage,13670,3.5,3.8,2.6,6.7,1.0,0.14,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5965,Centene Corporation,Wellcare,1598,2.5,2.3,2.5,1.6,0.9,0.54,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
