account_name,vertical,industry_raw,bo_priority,primary_function,product_angle,personas,contact_cap,universe,install_base,fo_risk_flag,owner_cleared,total_licenses,active_customer_date,source,sourced_date
DIRECTV,Telco / Cable,Telco_Cable,2,Billing / Order & service processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,7/24/2025,SF Active Customers Jul10,2026-07-13
Rogers Communications Canada,Telco / Cable,Telco/Cable,2,Billing / Order & service processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,8250,12/19/2010,SF Active Customers Jul10,2026-07-13
Virgin Media O2 (UK),Telco / Cable,Telco/Cable,2,Billing / Order & service processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,10000,3/31/2021,SF Active Customers Jul10,2026-07-13
British Gas,Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,5000,12/30/2015,SF Active Customers Jul10,2026-07-13
CENTRICA PLC,Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,6/15/2019,SF Active Customers Jul10,2026-07-13
Commonwealth Edison Company,Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,418,7/7/2020,SF Active Customers Jul10,2026-07-13
Dominion Energy,Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
Exelon Corporation,Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,1174,7/7/2020,SF Active Customers Jul10,2026-07-13
PECO,Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,216,10/11/2020,SF Active Customers Jul10,2026-07-13
PG&E Corporation,Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,1129,12/26/2013,SF Active Customers Jul10,2026-07-13
Pepco Holdings(PHI),Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,540,12/19/2020,SF Active Customers Jul10,2026-07-13
